,p,p_1,odds,score,no_of_alerts,true_alerts,FPR,TPR,FN,TN,FP,TP,percentage,no_of_alerts_mon,no_of_alerts_days,perc_alerts,perc_savings,type2error,False_alert,FTE_costs,Mis_costs,Tot_costs,Per_of_Current_Cost,,
157,0.2199,0.7801,0.281886938,401,8296,4171,0.990871967,0.991442833,36,38,4125,4171,0.705,830,28,0.991636798,0.008363202,0.01905,0.239600666,99552,6300,105852,1.053882915,,
158,0.2149,0.7851,0.273723093,399,8308,4178,0.992073024,0.993106727,29,33,4130,4178,0.71,831,28,0.992831541,0.007168459,0.0187,0.193011647,99696,5075,104771,1.043120271,,
159,0.2099,0.7901,0.265662574,398,8308,4178,0.992073024,0.993106727,29,33,4130,4178,0.715,831,28,0.992831541,0.007168459,0.01835,0.193011647,99696,5075,104771,1.043120271,,
160,0.2049,0.7951,0.257703434,396,8308,4178,0.992073024,0.993106727,29,33,4130,4178,0.72,831,28,0.992831541,0.007168459,0.018,0.193011647,99696,5075,104771,1.043120271,,
161,0.1999,0.8001,0.24984377,394,8320,4185,0.993274081,0.99477062,22,28,4135,4185,0.725,832,28,0.994026284,0.005973716,0.01765,0.146422629,99840,3850,103690,0.53,,
162,0.1949,0.8051,0.242081729,392,8332,4191,0.99471535,0.996196815,16,22,4141,4191,0.73,833,28,0.995221027,0.004778973,0.0172,0.106489185,99984,2800,102784,1.023337316,,
163,0.1899,0.8101,0.234415504,391,8332,4191,0.99471535,0.996196815,16,22,4141,4191,0.735,833,28,0.995221027,0.004778973,0.01675,0.106489185,99984,2800,102784,1.023337316,,
164,0.1849,0.8151,0.226843332,389,8332,4191,0.99471535,0.996196815,16,22,4141,4191,0.74,833,28,0.995221027,0.004778973,0.0163,0.106489185,99984,2800,102784,1.023337316,,
165,0.1799,0.8201,0.219363492,387,8332,4191,0.99471535,0.996196815,16,22,4141,4191,0.745,833,28,0.995221027,0.004778973,0.01585,0.106489185,99984,2800,102784,1.023337316,,
166,0.1749,0.8251,0.211974306,385,8344,4195,0.996637041,0.997147611,12,14,4149,4195,0.75,834,28,0.996415771,0.003584229,0.0154,0.079866889,100128,2100,102228,1.017801673,,
167,0.1699,0.8301,0.204674136,383,8344,4195,0.996637041,0.997147611,12,14,4149,4195,0.755,834,28,0.996415771,0.003584229,0.01495,0.079866889,100128,2100,102228,1.017801673,,
168,0.1649,0.8351,0.197461382,381,8344,4195,0.996637041,0.997147611,12,14,4149,4195,0.76,834,28,0.996415771,0.003584229,0.0145,0.079866889,100128,2100,102228,1.017801673,,
169,0.1599,0.8401,0.190334484,379,8344,4195,0.996637041,0.997147611,12,14,4149,4195,0.765,834,28,0.996415771,0.003584229,0.01405,0.079866889,100128,2100,102228,1.017801673,,
170,0.1549,0.8451,0.183291918,376,8344,4195,0.996637041,0.997147611,12,14,4149,4195,0.77,834,28,0.996415771,0.003584229,0.0136,0.079866889,100128,2100,102228,1.017801673,,
